timeNow = 2023-04-09 12:15:17.795599, len(dataFromDaq) = 3278, R->W thresh = 1.0, self.currentCh2Intensity = 0
timeNow = 2023-04-09 12:15:17.805600, len(dataFromDaq) = 3268, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.807598, len(dataFromDaq) = 3264, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.807598, len(dataFromDaq) = 3277, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.807598, len(dataFromDaq) = 3245, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.808599, len(dataFromDaq) = 3266, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.809601, len(dataFromDaq) = 3245, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.810599, len(dataFromDaq) = 3234, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.810599, len(dataFromDaq) = 2998, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.810599, len(dataFromDaq) = 3203, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.811599, len(dataFromDaq) = 3048, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.812599, len(dataFromDaq) = 3097, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.812599, len(dataFromDaq) = 3016, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.812599, len(dataFromDaq) = 3067, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.814599, len(dataFromDaq) = 3025, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.814599, len(dataFromDaq) = 3047, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.814599, len(dataFromDaq) = 2991, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.815599, len(dataFromDaq) = 3000, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.816599, len(dataFromDaq) = 3112, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.816599, len(dataFromDaq) = 3133, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.817599, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.817599, len(dataFromDaq) = 3177, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.842599, len(dataFromDaq) = 3175, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.842599, len(dataFromDaq) = 3176, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.843598, len(dataFromDaq) = 3148, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.843598, len(dataFromDaq) = 3109, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.851598, len(dataFromDaq) = 3129, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.852598, len(dataFromDaq) = 3114, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.852598, len(dataFromDaq) = 3127, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.853599, len(dataFromDaq) = 3137, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.860599, len(dataFromDaq) = 3132, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.860599, len(dataFromDaq) = 3115, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.860599, len(dataFromDaq) = 3107, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.861599, len(dataFromDaq) = 3113, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.868599, len(dataFromDaq) = 3118, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.868599, len(dataFromDaq) = 3137, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.869600, len(dataFromDaq) = 3122, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.869600, len(dataFromDaq) = 3139, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.877599, len(dataFromDaq) = 3149, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.877599, len(dataFromDaq) = 3128, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.877599, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.878599, len(dataFromDaq) = 3130, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.885600, len(dataFromDaq) = 3124, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.886601, len(dataFromDaq) = 3131, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.886601, len(dataFromDaq) = 3130, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.886601, len(dataFromDaq) = 3115, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.895599, len(dataFromDaq) = 3135, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.896599, len(dataFromDaq) = 3154, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.896599, len(dataFromDaq) = 3130, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.897600, len(dataFromDaq) = 3121, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.907599, len(dataFromDaq) = 3141, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.908599, len(dataFromDaq) = 3123, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.908599, len(dataFromDaq) = 3120, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.909599, len(dataFromDaq) = 3135, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.919599, len(dataFromDaq) = 3135, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.919599, len(dataFromDaq) = 3117, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.920599, len(dataFromDaq) = 3132, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.920599, len(dataFromDaq) = 3117, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.928598, len(dataFromDaq) = 3124, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.929599, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.929599, len(dataFromDaq) = 3117, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.930601, len(dataFromDaq) = 3135, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.937599, len(dataFromDaq) = 3127, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.938599, len(dataFromDaq) = 3158, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.938599, len(dataFromDaq) = 3141, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.938599, len(dataFromDaq) = 3143, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.946599, len(dataFromDaq) = 3148, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.946599, len(dataFromDaq) = 3156, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.946599, len(dataFromDaq) = 3023, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.947598, len(dataFromDaq) = 3222, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.954599, len(dataFromDaq) = 3129, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.955599, len(dataFromDaq) = 3125, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.955599, len(dataFromDaq) = 3078, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.955599, len(dataFromDaq) = 3066, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.963597, len(dataFromDaq) = 3078, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.963597, len(dataFromDaq) = 3041, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.963597, len(dataFromDaq) = 3019, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.964597, len(dataFromDaq) = 3037, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.971597, len(dataFromDaq) = 3151, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.972598, len(dataFromDaq) = 3191, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.972598, len(dataFromDaq) = 3177, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.972598, len(dataFromDaq) = 3175, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.980599, len(dataFromDaq) = 3177, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.980599, len(dataFromDaq) = 3197, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.981599, len(dataFromDaq) = 3164, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.981599, len(dataFromDaq) = 3189, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.991599, len(dataFromDaq) = 3161, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.993599, len(dataFromDaq) = 3175, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.994599, len(dataFromDaq) = 3164, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:17.994599, len(dataFromDaq) = 3152, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.004599, len(dataFromDaq) = 3162, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.005599, len(dataFromDaq) = 3159, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.005599, len(dataFromDaq) = 3133, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.006600, len(dataFromDaq) = 3163, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.015598, len(dataFromDaq) = 3133, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.015598, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.016600, len(dataFromDaq) = 3169, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.016600, len(dataFromDaq) = 3149, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.024600, len(dataFromDaq) = 3135, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.024600, len(dataFromDaq) = 3160, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.024600, len(dataFromDaq) = 3150, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.025600, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.034599, len(dataFromDaq) = 3155, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.035599, len(dataFromDaq) = 3125, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.035599, len(dataFromDaq) = 3146, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.036599, len(dataFromDaq) = 3167, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.044599, len(dataFromDaq) = 3156, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.044599, len(dataFromDaq) = 3124, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.045599, len(dataFromDaq) = 3129, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.045599, len(dataFromDaq) = 3135, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.053598, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.054599, len(dataFromDaq) = 3121, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.054599, len(dataFromDaq) = 3143, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.055599, len(dataFromDaq) = 3157, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.065599, len(dataFromDaq) = 3143, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.066599, len(dataFromDaq) = 3145, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.066599, len(dataFromDaq) = 3146, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.067599, len(dataFromDaq) = 3132, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.075600, len(dataFromDaq) = 3128, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.075600, len(dataFromDaq) = 3141, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.075600, len(dataFromDaq) = 3144, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.076599, len(dataFromDaq) = 3124, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.085599, len(dataFromDaq) = 3135, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.086599, len(dataFromDaq) = 3133, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.087599, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.087599, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.098599, len(dataFromDaq) = 3122, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.098599, len(dataFromDaq) = 3109, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.099599, len(dataFromDaq) = 3003, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.099599, len(dataFromDaq) = 3192, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.110599, len(dataFromDaq) = 3157, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.111601, len(dataFromDaq) = 3121, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.111601, len(dataFromDaq) = 3061, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.112602, len(dataFromDaq) = 3069, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.119599, len(dataFromDaq) = 3065, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.120599, len(dataFromDaq) = 3078, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.120599, len(dataFromDaq) = 3039, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.120599, len(dataFromDaq) = 3002, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.128599, len(dataFromDaq) = 3169, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.129600, len(dataFromDaq) = 3196, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.129600, len(dataFromDaq) = 3162, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.129600, len(dataFromDaq) = 3169, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.139600, len(dataFromDaq) = 3163, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.140600, len(dataFromDaq) = 3159, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.140600, len(dataFromDaq) = 3156, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.141598, len(dataFromDaq) = 3176, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.152599, len(dataFromDaq) = 3142, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.152599, len(dataFromDaq) = 3139, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.153599, len(dataFromDaq) = 3143, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.153599, len(dataFromDaq) = 3146, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.163599, len(dataFromDaq) = 3136, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.163599, len(dataFromDaq) = 3139, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.164599, len(dataFromDaq) = 3154, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.164599, len(dataFromDaq) = 3139, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.174599, len(dataFromDaq) = 3151, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.174599, len(dataFromDaq) = 3146, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.175598, len(dataFromDaq) = 3156, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.176600, len(dataFromDaq) = 3155, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.186602, len(dataFromDaq) = 3146, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.187602, len(dataFromDaq) = 3149, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.187602, len(dataFromDaq) = 3152, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.188602, len(dataFromDaq) = 3131, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.197601, len(dataFromDaq) = 3144, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.197601, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.198602, len(dataFromDaq) = 3159, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.198602, len(dataFromDaq) = 3150, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.206599, len(dataFromDaq) = 3139, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.206599, len(dataFromDaq) = 3154, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.207599, len(dataFromDaq) = 3148, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.207599, len(dataFromDaq) = 3153, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.215600, len(dataFromDaq) = 3149, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.215600, len(dataFromDaq) = 3149, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.216599, len(dataFromDaq) = 3158, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.216599, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.224599, len(dataFromDaq) = 3148, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.225599, len(dataFromDaq) = 3144, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.225599, len(dataFromDaq) = 3158, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.226599, len(dataFromDaq) = 3135, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.236599, len(dataFromDaq) = 3158, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.236599, len(dataFromDaq) = 3159, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.237600, len(dataFromDaq) = 3164, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.237600, len(dataFromDaq) = 3131, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.246599, len(dataFromDaq) = 3174, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.247599, len(dataFromDaq) = 3161, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.247599, len(dataFromDaq) = 3145, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.248599, len(dataFromDaq) = 3172, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.257597, len(dataFromDaq) = 3160, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.257597, len(dataFromDaq) = 3143, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.258599, len(dataFromDaq) = 3037, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.258599, len(dataFromDaq) = 3241, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.269599, len(dataFromDaq) = 3159, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.269599, len(dataFromDaq) = 3115, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.270599, len(dataFromDaq) = 3082, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.271599, len(dataFromDaq) = 3053, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.281599, len(dataFromDaq) = 3060, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.281599, len(dataFromDaq) = 3054, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:18.282599, len(dataFromDaq) = 3011, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
